,image_name,tags,haze,primary,agriculture,clear,water,habitation,road,cultivation,slash_burn,cloudy,partly_cloudy,conventional_mine,bare_ground,artisinal_mine,blooming,selective_logging,blow_down
0,train_0,haze primary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,train_1,agriculture clear primary water,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,train_2,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,train_3,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,train_4,agriculture clear habitation primary road,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
5,train_5,haze primary water,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,train_6,agriculture clear cultivation primary water,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
7,train_7,haze primary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,train_8,agriculture clear cultivation primary,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
9,train_9,agriculture clear cultivation primary road,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
10,train_10,agriculture clear primary slash_burn water,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
11,train_11,clear primary water,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12,train_12,cloudy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,train_13,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,train_14,cloudy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,train_15,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,train_16,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,train_17,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18,train_18,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,train_19,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
20,train_20,agriculture clear primary water,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
21,train_21,clear primary road water,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
22,train_22,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,train_23,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
24,train_24,conventional_mine partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
25,train_25,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,train_26,cloudy primary,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,train_27,agriculture partly_cloudy primary water,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
28,train_28,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,train_29,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30,train_30,clear primary water,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
31,train_31,clear cultivation primary,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
32,train_32,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
33,train_33,agriculture cultivation partly_cloudy primary,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
34,train_34,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,train_35,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,train_36,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
37,train_37,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,train_38,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,train_39,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,train_40,agriculture clear cultivation primary,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
41,train_41,agriculture clear primary,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,train_42,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,train_43,bare_ground haze,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44,train_44,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,train_45,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,train_46,bare_ground clear habitation primary,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
47,train_47,clear primary water,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
48,train_48,clear primary water,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
49,train_49,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,train_50,cloudy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,train_51,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52,train_52,agriculture clear habitation primary road water,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
53,train_53,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,train_54,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,train_55,partly_cloudy primary road water,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
56,train_56,clear primary water,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
57,train_57,artisinal_mine bare_ground clear primary water,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0
58,train_58,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
59,train_59,agriculture clear habitation primary road,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
60,train_60,haze primary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,train_61,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
62,train_62,clear primary water,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
63,train_63,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
64,train_64,agriculture clear primary,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
65,train_65,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66,train_66,agriculture clear primary road,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
67,train_67,clear habitation primary road,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
68,train_68,cloudy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
69,train_69,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,train_70,blooming clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
71,train_71,clear primary water,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
72,train_72,cloudy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
73,train_73,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,train_74,agriculture partly_cloudy primary road,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
75,train_75,agriculture clear primary road water,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
76,train_76,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77,train_77,cloudy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
78,train_78,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
79,train_79,clear cultivation primary,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
80,train_80,agriculture partly_cloudy primary road,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
81,train_81,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
82,train_82,blooming clear cultivation habitation primary slash_burn,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0
83,train_83,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84,train_84,agriculture clear habitation primary road,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
85,train_85,clear primary water,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
86,train_86,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
87,train_87,cloudy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88,train_88,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
89,train_89,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
90,train_90,agriculture partly_cloudy primary road,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
91,train_91,partly_cloudy primary,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
92,train_92,agriculture clear habitation primary road,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
93,train_93,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
94,train_94,agriculture clear habitation primary road,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
95,train_95,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
96,train_96,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
97,train_97,cloudy,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
98,train_98,clear primary,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
